date,day,th_month,year,1st_prize,2digit_up,3digit_up,2digit_buttom,"3digit_front,3digit_bottom",3digit_front,3digit_bottom,thai_zodiac,dow,moon_phase,moon_category,moon_distance_km
2023-12-16,16,ธันวาคม,2566,356757,57,757,85,['058' '410' '584' '964'],['058' '410'],['584' '964'],Rabbit,Saturday,0.11836424827575684,เริ่มข้างขึ้น,368187.8914121422
2023-12-01,1,ธันวาคม,2566,251097,97,097,91,['055' '265' '092' '280'],['055' '265'],['092' '280'],Rabbit,Friday,0.8633841705322266,ช่วงข้างแรม,395970.5346778245
2023-11-16,16,พฤศจิกายน,2566,557990,90,990,14,['346' '412' '778' '961'],['346' '412'],['778' '961'],Rabbit,Thursday,0.07882617473602295,เริ่มข้างขึ้น,377898.0339409504
2023-11-01,1,พฤศจิกายน,2566,743951,51,951,63,['335' '913' '019' '349'],['335' '913'],['019' '349'],Rabbit,Wednesday,0.8821350860595704,ช่วงข้างแรมแก่,384796.13307007356
2023-10-16,16,ตุลาคม,2566,931446,46,446,44,['167' '398' '272' '970'],['167' '398'],['272' '970'],Rabbit,Monday,0.015844767093658448,เริ่มข้างขึ้น,393073.5385463061
2023-10-01,1,ตุลาคม,2566,727202,02,202,66,['324' '355' '426' '615'],['324' '355'],['426' '615'],Rabbit,Sunday,0.9648717498779297,ช่วงข้างแรมแก่,367256.1281775078
2023-09-16,16,กันยายน,2566,320812,12,812,46,['037' '699' '057' '344'],['037' '699'],['057' '344'],Rabbit,Saturday,0.008295964002609253,เริ่มข้างขึ้น,402442.82521873014
2023-09-01,1,กันยายน,2566,915478,78,478,91,['521' '596' '291' '692'],['521' '596'],['291' '692'],Rabbit,Friday,0.9860841369628907,ช่วงข้างแรมแก่,358919.2314073141
2023-08-16,16,สิงหาคม,2566,471782,82,782,67,['431' '739' '737' '742'],['431' '739'],['737' '742'],Rabbit,Wednesday,0.003144693076610565,เริ่มข้างขึ้น,406551.20759888785
2023-07-31,31,กรกฎาคม,2566,260453,53,453,11,['268' '708' '387' '601'],['268' '708'],['387' '601'],Rabbit,Monday,0.9512825012207031,ช่วงข้างแรมแก่,362041.96704478236
2023-07-16,16,กรกฎาคม,2566,169530,30,530,62,['261' '384' '066' '780'],['261' '384'],['066' '780'],Rabbit,Sunday,0.031107571125030518,เริ่มข้างขึ้น,400025.2773667057
